56708.4,88.3,1.99e+41,1.99e+41,9.83e+40,1.97e+41,2.01e+40
56713.2,93.1,1.82e+41,1.82e+41,9.21e+40,1.82e+41,1.90e+40
56713.3,93.2,1.82e+41,1.82e+41,9.21e+40,1.82e+41,1.87e+40
56715.2,95.1,1.76e+41,1.76e+41,9.01e+40,1.76e+41,1.79e+40
56715.4,95.3,1.75e+41,1.75e+41,8.99e+40,1.75e+41,1.86e+40
56721.5,101.4,1.57e+41,1.57e+41,8.25e+40,1.57e+41,1.54e+40
56722.3,102.2,1.54e+41,1.54e+41,8.16e+40,1.54e+41,1.49e+40
56730.4,110.3,1.34e+41,1.34e+41,7.11e+40,1.34e+41,1.34e+40
56731.4,111.3,1.32e+41,1.32e+41,6.98e+40,1.32e+41,1.23e+40
56733.2,113.1,1.28e+41,1.28e+41,6.74e+40,1.28e+41,1.22e+40
56735.2,115.1,1.24e+41,1.24e+41,6.51e+40,1.24e+41,1.21e+40
56741.3,121.2,1.13e+41,1.13e+41,6.01e+40,1.13e+41,1.07e+40
