1.995	,41.199
1.931	,41.207
2.151	,41.219
2.152	,41.230
2.299	,41.242
2.300	,41.252
2.364	,41.261
2.910	,41.343
3.130	,41.356
3.342	,41.369
3.353	,41.398
3.416	,41.405
3.563	,41.422
3.775	,41.440
4.348	,41.529
4.495	,41.539
6.474	,41.749
8.295	,41.882
9.111	,41.912
9.543	,41.929
10.487	,41.965
11.139	,41.988
12.075	,42.008
12.367	,42.020
13.009	,42.032
13.431	,42.038
14.082	,42.047
15.146	,42.058
16.218	,42.067
17.152	,42.070
18.013	,42.070
18.727	,42.067
19.570	,42.061
20.641	,42.046
21.208	,42.037
21.564	,42.028
21.994	,42.015
22.561	,42.000
23.138	,41.986
24.014	,41.953
24.526	,41.935
26.546	,41.866
27.058	,41.849
28.164	,41.818
28.383	,41.807
28.730	,41.798
29.160	,41.784
29.590	,41.772
30.019	,41.760
35.700	,41.654
36.569	,41.635
40.549	,41.579
45.096	,41.532
45.892	,41.524
46.972	,41.514
47.833	,41.506
48.793	,41.497
49.580	,41.490
50.377	,41.483
51.017	,41.477
51.740	,41.471
52.528	,41.466
53.397	,41.460
54.331	,41.451
55.549	,41.442
56.491	,41.434
57.718	,41.425
59.117	,41.412
60.472	,41.403
63.365	,41.380
65.377	,41.365
66.604	,41.356
67.793	,41.347
69.606	,41.331
69.606	,41.331
70.411	,41.322
71.409	,41.313
72.361	,41.304
74.996	,41.283
77.302	,41.260
78.839	,41.246
81.027	,41.230
82.106	,41.221
82.976	,41.213
84.055	,41.202
86.178	,41.186
