2457980.204,16.5388,0.0186,V
2457980.205,16.5392,0.0186,V
2457980.294,16.3899,0.0409,V
2457980.295,16.3806,0.0648,V
2457980.597,16.0478,0.0383,U
2457980.601,16.058,0.0378,U
2457980.606,16.4297,0.016,B
2457980.608,16.4403,0.0166,B
2457980.611,16.148,0.0171,V
2457980.613,16.1497,0.0171,V
2457980.615,16.2008,0.0075,g
2457980.618,16.2026,0.0075,g
2457980.621,16.0541,0.008,r
2457980.623,16.0635,0.0089,r
2457980.625,17.6897,0.0128,i
2457980.627,17.6333,0.0129,i
2457980.888,15.9903,0.0441,U
2457980.892,15.9247,0.0431,U
2457980.896,16.3746,0.0165,B
2457980.899,16.3582,0.0165,B
2457980.902,15.9845,0.0171,V
2457980.904,15.9866,0.0176,V
2457980.906,17.8209,0.0104,g
2457980.909,17.7965,0.0104,g
2457980.912,17.783,0.0132,r
2457980.914,17.8233,0.0161,r
2457980.916,17.8068,0.0131,i
2457980.917,17.9961,0.0169,i
2457981.851,15.6615,0.0367,U
2457981.855,15.6575,0.0348,U
2457981.86,15.9473,0.0147,B
2457981.862,15.9634,0.0147,B
2457981.865,15.5457,0.0157,V
2457981.867,15.5546,0.0151,V
2457981.869,15.6829,0.0071,g
2457981.872,15.6837,0.0071,g
2457981.875,15.4518,0.008,r
2457981.877,15.4578,0.0068,r
2457981.879,15.6541,0.0094,i
2457982.202,15.5791,0.0424,U
2457982.206,15.522,0.0449,U
2457982.21,15.8201,0.0153,B
2457982.213,15.8557,0.0149,B
2457982.216,15.3659,0.0151,V
2457982.218,15.3281,0.0158,V
2457982.22,15.5165,0.0065,g
2457982.223,15.441,0.0063,g
2457982.226,15.3433,0.0067,r
2457982.227,15.2667,0.0069,r
2457982.229,15.528,0.0089,i
2457982.231,15.5582,0.0087,i
2457982.288,15.5896,0.037,U
2457982.292,15.5512,0.0372,U
2457982.297,15.8211,0.0149,B
2457982.299,15.8284,0.0152,B
2457982.302,15.3429,0.0162,V
2457982.304,15.3689,0.0158,V
2457982.306,15.4712,0.007,g
2457982.309,15.4773,0.0067,g
2457982.312,15.2933,0.0073,r
2457982.314,15.3671,0.007,r
2457982.316,15.565,0.0098,i
2457982.318,15.5758,0.0094,i
2457983.277,15.4605,0.0352,U
2457983.281,15.4597,0.0354,U
2457983.285,15.6596,0.0147,B
2457983.287,15.6505,0.0147,B
2457983.29,15.1954,0.0157,V
2457983.292,15.1037,0.0151,V
2457983.294,15.3349,0.0062,g
2457983.297,15.3325,0.0064,g
2457983.299,15.8567,0.0284,B
2457983.3,15.0679,0.0076,r
2457983.301,15.8441,0.037,B
2457983.302,15.062,0.0067,r
2457983.304,15.2521,0.0087,i
2457983.894,15.376,0.036,U
2457983.898,15.3821,0.0363,U
2457983.902,15.5096,0.0154,B
2457983.905,15.5145,0.0159,B
2457983.908,14.9749,0.0155,V
2457983.91,14.9641,0.0158,V
2457983.912,15.1265,0.0082,g
2457983.915,15.1258,0.009,g
2457983.918,14.9164,0.0066,r
2457983.919,14.9164,0.0075,r
2457983.921,15.1039,0.0085,i
