name,p,b,f
SN1993J,29.4683503866,21.4319337456,0.234337920018
SN1994I,1.98101167121,32.8936456838,0.477468271166
SN1998bw,6.1157289615,9.56150217622,0.38451193594
SN2002ap,5.66187135837,32.3682968366,0.270415459704
SN2003jd,5.64474715271,13.8003675445,0.470663136138
SN2004aw,11.5541371418,38.7163496553,0.0772120043052
SN2004gq,5.04078362575,37.9269252122,0.292892583991
SN2005hg,10.375701026,12.4222640191,0.210015027449
SN2006T,7.30150713917,19.0461464019,0.388965669841
SN2006el,27.6613460531,22.4189603903,0.314074938008
SN2006ep,6.70628245794,19.5979577607,0.471677992666
SN2007gr,3.28861462862,59.9975051418,0.175246280627
SN2007ru,3.04967407221,17.0370885453,0.502482570828
SN2007uy,7.60799398941,16.6032338342,0.313333001309
SN2008D,32.4544949337,36.2041051194,0.222088493201
SN2008ax,28.9609571773,21.8273978428,0.287887148105
SN2009jf,24.8954993307,16.9995252694,0.18968355053
SN2011dh,21.8561947569,22.6993380511,0.21529482677
iPTF13bvn,10.9806948537,24.2426857091,0.424159927027
SN2013df,26.4581134158,17.2163260763,0.36607844263
SN2013ge,12.9604449375,29.4600706936,0.23928609645
SN2014ad,7.43968735471,14.4787960877,0.363818262013
SN2016coi,9.42080230349,14.7785350828,0.300058450995
SN2016gkg,15.8970453842,42.3596793136,0.150653994556
