name,tail_ni_mass,beta_req
SN1993J,0.081008356280940441,0.80153012602889717
SN1994I,0.047662381918410941,0.00015586455562184378
SN1996cb,0.030497453793457481,1.1712463442141852
SN1998bw,0.30024483318492023,0.50022920728268938
SN2002ap,0.061638884584986363,0.63840440212019922
SN2003jd,0.11699044606600595,0.28692764847495433
SN2004aw,0.15090842957193834,1.0251444019358626
SN2004gq,0.043825390255116843,0.5902448010393565
SN2005hg,0.35300178200260784,0.83063125605102694
SN2006T,0.082340784783924453,0.48610407608027578
SN2006el,0.051910003289006884,0.69701223158015224
SN2006ep,0.057967961583360775,0.28684109472586572
SN2007gr,0.047197466018262704,0.76882844339264478
SN2007ru,0.10266088303256181,0.086411299087900365
SN2007uy,0.14341150242724932,0.63834029978755413
SN2008D,0.035954573223360403,0.81580370586044582
SN2008ax,0.060083588393861555,0.7292043660090366
SN2009bb,0.15837776265497272,1.2332563503885214
SN2009jf,0.16399205537918679,0.87495435882088712
SN2011bm,0.57352337033824696,1.7108742932299223
SN2011dh,0.093482298670807706,0.81304130610449843
iPTF13bvn,0.039794191913541208,0.42760483814741357
SN2013df,0.06326754284471317,0.60535844203330225
SN2013ge,0.06267175932075067,0.7870974807904888
SN2014ad,0.14650573368554981,0.53542107865013355
SN2016coi,0.17031648154436679,0.66756978104125186
SN2016gkg,0.055170662882271918,0.90828679427281978
