name,tail_ni_mass,beta_req
SN1993J,0.087414168564341685,0.7245396620112573
SN1994I,0.065718091975608628,0.25158719838691018
SN1996cb,0.032620267791914591,1.0269301715186494
SN1998bw,0.31183579457563299,0.41414893821578991
SN2002ap,0.065436504940622892,0.50672392091490648
SN2004aw,0.15780627494316002,0.84449123986267305
SN2004gq,0.045056370107001587,0.44609356792025262
SN2005bf,0.35067993094135286,0.82926488820748379
SN2005hg,0.36955400964167195,0.70409506774414465
SN2006T,0.086935963830291577,0.40689196898370206
SN2006el,0.055001852809684795,0.61634712771565481
SN2006ep,0.060701347330050295,0.26082657544612675
SN2007gr,0.050304225782823245,0.59299317677720753
SN2007ru,0.10903039706756509,0.096388877154809247
SN2007uy,0.15028984710100135,0.52836878052554692
SN2008D,0.038906635262503798,0.73174479987198227
SN2008ax,0.06457399159544544,0.67561522262590079
SN2009bb,0.21589896984983198,1.3306408806857115
SN2009jf,0.17169126167482987,0.75994397294018745
SN2011bm,0.60871921399939322,1.6115853343945903
SN2011dh,0.098681178073728393,0.72071252986706391
iPTF13bvn,0.04215605304857796,0.37466242505706693
SN2013df,0.06574741144711474,0.53179945643134807
SN2013ge,0.065879204701127902,0.67256304460335181
SN2014ad,0.15634358916479679,0.46628728293522698
SN2016coi,0.18101753636487389,0.57106560509498039
SN2016gkg,0.057177344039389275,0.75696505118458379
