arnett_ni_mass,band_bc,band_extinction,band_t0,beta_req,distance,ebv_gal,ebv_host,host,lb,name,ni_khatami,peakL,peakt,prentice_ni,prentice_peakL,prentice_peakt,smoothing_bc,sn_type,sn_type_full,source,source_bc,t0,tail_meje,tail_ni_mass,ub,verbose
0.29474742226291034;0.066419332637298864,V;I,V;R,B,0.75994397294018745;0.17350716929460369,33800000.0;2350000.0,0.097;0.0013,0.07;0.065,NGC 7479,0.0,SN2009jf,0.20268550157803275;0.034316332592905098,42.683210206093925;41.911888390421282,22.399999999999956;4.2044933529398172,0.271;0.051;0.035,42.682;0.072;0.057,21.267;0.164,1.0,Ib,Ib,5;8,8,55099.54000000004;4.2,5.1388995267367212;0.12683856077412412,0.17169126167482987;0.030088174794354754,7.0,1
0.6352282643112277;0.10838181701447475,V;I,B;V,R,1.6115853343945903;0.39468322054739413,99200000.0;6800000.0,0.0285;0.0005,0.0;0.15,IC 3918,0.0,SN2011bm,0.43536895624589922;0.074024106300205839,42.860280242210393;42.090795956356651,35.099999999999909;0.67934305911723836,0.702;0.176;0.106,42.922;0.096;0.069,34.586;0.151,3.0,Ic,Ic,3,3,55645.5;0.5,4.0047596323111598;1.7459350790756567,0.60871921399939322;0.1067108133968015,7.0,1
0.16456302337264769;0.015912735020008052,V;R,V;R,,0.72071252986706391;0.099128545155022785,8580000.0;100000.0,0.0309;0.0017,0.15;0.028,M51,,SN2011dh,0.092670142044300796;0.008957877483400694,42.489380609197745;41.474645898809619,19.49999999999995;0.051688863944313573,0.075;0.011;0.006,42.246;0.057;0.036,15.712;0.017,1.0,IIb,IIb,17,17,55712.0;0.0,3.2610967755855795;4.3824389756473471e-09,0.098681178073728393;0.0093159238702187012,,1
0.096044287214555379;0.016843297824016362,V;I,V;R,r,0.37466242505706693;0.14831960504329209,23900000.0;1670000.0,0.0436;0.0006,0.15;0.04,NGC 5806,0.0,iPTF13bvn,0.069788297665707585;0.011762926572989135,42.313460573863459;41.540193355139067,16.899999999999977;0.81134469076129689,0.070;0.012;0.006,42.211;0.067;0.037,15.953;0.098,1.0,Ib,Ib,1;2,2,56458.33999999985;0.8,4.3455149527036543;0.033301494084896938,0.04215605304857796;0.0080927000353154029,7.0,1
0.14445242016673171;0.022704853152995162,V;I,V;R,,0.53179945643134807;0.12198667488505441,17900000.0;1000000.0,0.0168;0.0002,0.2;0.04,NGC 4414,,SN2013df,0.077901464550558158;0.011327235341893995,42.372058479962746;41.534636781244856,22.400000000000034;1.5287574295947612,0.144;0.028;0.019,42.397;0.074;0.058,21.793;0.103,0.3,IIb,IIb,8,8,56447.299999999814;0.9,4.0678273353153296;3.506913917349763e-07,0.06574741144711474;0.0091415606102844705,,1
0.11185473253923341;0.040531297907393724,B;V,V;R,V,0.67256304460335181;0.26363101800427824,23700000.0;1650000.0,0.0198;0.0002,0.1;0.1,NGC 3287,0.0,SN2013ge,0.080562294048210636;0.019456124932615577,42.387162930858914;41.77008745271749,16.299999999999962;4.7043509262358691,0.109;0.032;0.023,42.335;0.077;0.064,18.878;1.697,5.0,Ib,Ib,2,2,56602.29000000004;4.7,3.9865844705887397;0.10636737613185951,0.065879204701127902;0.023441093257285585,7.0,1
0.31420676793236985;0.074232556903987723,V;I,V;R,,0.46628728293522698;0.15749257678458881,26700000.0;1860000.0,0.038;0.0012,0.1;0.07,PGC 37625,0.0,SN2014ad,0.23223691749964645;0.03899211220598655,42.841255406724322;42.066300909883729,16.599999999999959;3.0027749217602571,,,,1.0,Ic,Ic BL,1,1,56724.5;3.0,3.0611616062476026;0.026338856920837813,0.15634358916479679;0.027838306084715016,7.0,1
0.34330732795115826;0.067556117938398802,V;I,V;R,B,0.57106560509498039;0.16084337487419764,18100000.0;1260000.0,0.0737;0.0021,0.27;0.08,UGC 11868,0.0,SN2016coi,0.2461923110118775;0.041098538193042086,42.842565314596079;42.065117204530338,17.899999999999956;2.1124411839450823,,,,2.5,Ic,Ic BL,1,1,57533.22999999998;2.1,4.3899120688978046;0.062767148261249461,0.18101753636487389;0.049725305790892675,7.0,1
0.083603206243864789;0.02450904153836457,V;I,B;V,,0.75696505118458379;0.19248267202237712,19700000.0;1380000.0,0.0166;0.0002,0.2;0.17,NGC 613,,SN2016gkg,0.051409285612224624;0.0086313637513206545,42.28994556495784;41.514983415497518,15.899999999999961;4.0,,,,0.4,IIb,IIb,1; 8,1,57655.2080000001;0.0,4.1546939976571942;3.1417710642389161e-07,0.057177344039389275;0.011103453317239633,,1
0.12283112112812926;0.047107491310466022,B;V,B;V,i,0.6225809091503679;0.42041634699174535,16700000.0;1700000.0,0.0201;0.0003,0.08;0.02,NGC 1672,0.0,SN2017gax,0.092244988210226697;0.033305775926345316,42.483555250972351;42.041132027173632,14.399999999999967;2.2153754174547853,,,,6.5,Ic,Ic,0,0,57980.080000000075;0.5,3.6695820637379892;0.0099573767316174268,0.071093018249263354;0.033748568986419356,4.0,1
